YEAR,MO,DY,HR,T2M,QV2M,WS2M
2018,1,1,2,9.15,5.62,4.02
2018,1,1,3,9.38,5.74,4.08
2018,1,1,4,9.41,5.92,4.09
2018,1,1,5,9.22,6.16,3.83
2018,1,1,6,8.57,6.29,3.27
2018,1,1,7,8.98,6.41,3.63
2018,1,1,8,10.79,6.53,3.9
2018,1,1,9,13.98,6.35,4.44
2018,1,1,10,16.13,5.98,5.09
2018,1,1,11,17.18,5.8,5.29
2018,1,1,12,17.83,5.68,5.37
2018,1,1,13,18.17,5.49,5.34
2018,1,1,14,18.03,5.43,5.13
2018,1,1,15,17.32,5.37,4.62
2018,1,1,16,15.13,5.62,2.72
2018,1,1,17,12.68,5.55,2.09
2018,1,1,18,11.63,5.55,2.07
2018,1,1,19,10.75,5.62,1.98
2018,1,1,20,9.97,5.74,1.84
2018,1,1,21,9.25,5.74,1.7
2018,1,1,22,8.61,5.74,1.62
2018,1,1,23,8.08,5.68,1.59
2018,1,2,0,7.64,5.62,1.6
2018,1,2,1,7.24,5.49,1.6
2018,1,2,2,6.85,5.37,1.58
2018,1,2,3,6.48,5.31,1.56
2018,1,2,4,6.14,5.19,1.56
2018,1,2,5,5.82,5.13,1.57
2018,1,2,6,5.51,5.07,1.59
2018,1,2,7,6.92,5.07,1.73
2018,1,2,8,9.76,5.13,2.64
2018,1,2,9,12.56,5.31,2
2018,1,2,10,16.11,5.62,2.45
2018,1,2,11,17.4,5.62,2.67
2018,1,2,12,18.05,5.55,2.85
2018,1,2,13,18.33,5.49,3.12
2018,1,2,14,18.16,5.49,3.36
2018,1,2,15,17.44,5.62,3.13
2018,1,2,16,14.8,5.98,1.41
2018,1,2,17,12.25,5.74,1.24
2018,1,2,18,11.68,5.68,1.25
2018,1,2,19,11.05,5.62,1.28
2018,1,2,20,10.27,5.55,1.33
2018,1,2,21,9.73,5.43,1.32
2018,1,2,22,9.18,5.37,1.3
2018,1,2,23,8.58,5.31,1.33
2018,1,3,0,8.15,5.25,1.36
2018,1,3,1,7.9,5.25,1.44
2018,1,3,2,7.69,5.19,1.55
2018,1,3,3,6.97,5.19,1.59
2018,1,3,4,6.54,5.25,1.55
2018,1,3,5,6.39,5.31,1.46
2018,1,3,6,6.19,5.37,1.41
2018,1,3,7,7.95,5.55,1.91
2018,1,3,8,10.27,5.74,2.81
2018,1,3,9,12.51,6.04,2.72
2018,1,3,10,15.61,6.29,3.35
2018,1,3,11,17.69,6.35,3.8
2018,1,3,12,18.47,6.29,4
2018,1,3,13,19.01,6.23,4.17
2018,1,3,14,18.87,6.23,4.17
2018,1,3,15,18.12,6.16,3.86
2018,1,3,16,16.12,6.35,2.29
2018,1,3,17,14.27,6.35,1.94
2018,1,3,18,13.57,6.29,2.03
2018,1,3,19,12.85,6.23,2.12
2018,1,3,20,12.03,6.1,2.22
2018,1,3,21,11.33,5.98,2.49
2018,1,3,22,10.75,5.92,2.86
2018,1,3,23,10.42,5.92,3.23
2018,1,4,0,10.13,5.92,3.42
2018,1,4,1,9.69,5.92,3.35
2018,1,4,2,9.28,5.98,3.38
2018,1,4,3,9.25,5.98,3.82
2018,1,4,4,9.06,5.98,3.75
2018,1,4,5,8.44,5.92,3.33
2018,1,4,6,7.74,5.86,2.99
2018,1,4,7,8.29,5.86,3.75
2018,1,4,8,10.08,5.86,4.56
2018,1,4,9,12.8,5.92,5.6
2018,1,4,10,14.92,6.1,6.05
2018,1,4,11,16.24,6.1,6.3
2018,1,4,12,16.94,6.04,6.34
2018,1,4,13,17.24,6.04,6.21
2018,1,4,14,17.12,6.04,6.01
2018,1,4,15,16.51,6.04,5.73
2018,1,4,16,15.2,5.98,4.75
2018,1,4,17,13.19,5.8,3.71
2018,1,4,18,11.92,5.43,3.59
2018,1,4,19,11.23,5.07,3.98
2018,1,4,20,10.6,4.82,4.18
2018,1,4,21,10.21,4.76,4.53
2018,1,4,22,9.92,4.88,4.88
2018,1,4,23,10.19,5.31,5.63
2018,1,5,0,10.88,5.86,6.35
2018,1,5,1,11.51,6.47,6.5
2018,1,5,2,11.76,7.02,6.04
2018,1,5,3,11.35,7.2,5.71
2018,1,5,4,10.81,7.2,5.55
2018,1,5,5,10.15,7.14,5.28
2018,1,5,6,9.52,7.02,5.1
2018,1,5,7,9.6,6.96,5.2
2018,1,5,8,11.14,6.96,5.63
2018,1,5,9,13.77,7.08,6.71
2018,1,5,10,15.97,6.77,7.16
2018,1,5,11,17.18,6.29,7.21
2018,1,5,12,17.85,6.1,6.96
2018,1,5,13,18.12,6.04,6.68
2018,1,5,14,17.9,5.92,6.24
2018,1,5,15,17.36,5.92,5.38
2018,1,5,16,15.75,5.98,3.4
2018,1,5,17,13.31,5.92,2.38
2018,1,5,18,12.19,5.8,2.24
2018,1,5,19,11.23,5.8,2.13
2018,1,5,20,10.43,5.86,2.08
2018,1,5,21,9.71,5.92,2
2018,1,5,22,9.07,6.04,1.91
2018,1,5,23,8.53,6.1,1.8
2018,1,6,0,8.09,6.23,1.72
2018,1,6,1,7.76,6.29,1.78
2018,1,6,2,7.43,6.41,1.82
2018,1,6,3,7.1,6.41,1.8
2018,1,6,4,6.79,6.47,1.75
2018,1,6,5,6.58,6.41,1.65
2018,1,6,6,6.41,6.41,1.51
2018,1,6,7,7.78,6.35,1.76
2018,1,6,8,10.05,6.41,2.21
2018,1,6,9,13.14,6.53,1.7
2018,1,6,10,16.69,6.41,2.48
2018,1,6,11,18.05,6.23,2.65
2018,1,6,12,18.8,6.04,2.76
2018,1,6,13,19.18,5.92,2.88
2018,1,6,14,19.08,5.86,2.98
2018,1,6,15,18.46,5.86,2.86
2018,1,6,16,15.76,6.29,1.36
2018,1,6,17,13.18,5.92,1.29
2018,1,6,18,12.37,5.86,1.38
2018,1,6,19,11.59,5.8,1.53
2018,1,6,20,10.84,5.74,1.77
2018,1,6,21,10.07,5.68,1.95
2018,1,6,22,9.28,5.74,1.93
2018,1,6,23,8.57,5.86,1.81
2018,1,7,0,8.05,5.98,1.67
2018,1,7,1,7.64,5.98,1.56
2018,1,7,2,7.33,5.98,1.45
2018,1,7,3,7.1,5.92,1.39
2018,1,7,4,6.87,5.92,1.38
2018,1,7,5,6.55,5.98,1.4
2018,1,7,6,6.13,6.04,1.42
2018,1,7,7,7.54,6.23,1.43
2018,1,7,8,10.84,6.35,2.58
2018,1,7,9,14.19,6.41,2.88
2018,1,7,10,17.4,6.41,3.64
2018,1,7,11,18.88,6.47,3.58
2018,1,7,12,19.87,6.41,3.69
2018,1,7,13,20.41,6.35,3.85
2018,1,7,14,20.37,6.23,3.89
2018,1,7,15,19.69,6.23,3.73
2018,1,7,16,16.96,6.47,2.3
2018,1,7,17,15.08,6.53,2.25
2018,1,7,18,14.86,6.77,2.71
2018,1,7,19,14.51,6.96,3.31
2018,1,7,20,13.83,7.02,3.59
2018,1,7,21,13.06,7.14,3.57
2018,1,7,22,11.5,7.32,2.78
2018,1,7,23,10.55,7.51,2.71
2018,1,8,0,10.03,7.63,2.79
2018,1,8,1,9.51,7.63,2.76
2018,1,8,2,9.14,7.45,2.82
2018,1,8,3,8.77,7.32,2.78
2018,1,8,4,8.37,7.08,2.67
